Método,Tamaño Trayectoria,Epsilon,Distancia Media (m),Distancia Máx (m),Desv. Estándar (m),Error Longitud (m),Error Dirección (rad),Hausdorff (m),Tiempo (s),Run
PivotSampling,908,454,250.02545700248456,1247.7550766670897,178.2609398996394,279192.2943792333,1.8364730314222528,0.01156236804621907,14.844146966934204,0
PivotSampling,908,454,246.99784065859888,1088.8740834053951,176.6154610698199,271329.3822159457,1.8054871428540962,0.008349227724494456,15.140126466751099,1
PivotSampling,908,454,247.64161142377742,1267.1211468082743,179.84436258413922,264301.341728983,1.8104512261832404,0.009489992147511148,15.087648630142212,2
PivotSampling,908,454,255.87235827894716,1223.7986327485605,191.36162462142227,275569.26160024543,1.8594115757153329,0.009001925813719702,14.964348316192627,3
PivotSampling,908,454,256.9990652426168,1358.7085563089881,191.99018957817685,275891.3341296827,1.8076461022383186,0.009563759217241846,31.693583726882935,4
PivotSampling,908,454,258.9033642444537,1036.0413352937294,187.37333696691755,281596.3486619992,1.8387725538832416,0.011825942224022987,32.257773876190186,5
PivotSampling,908,454,261.5170605488555,1411.1152637248092,200.5266500370502,280104.34328123,1.8245046291056004,0.008715660849508563,33.5578293800354,6
PivotSampling,908,454,256.7276260583521,1032.6164551459108,171.65150438972182,279249.08694215014,1.8620926972786287,0.009271345119942017,32.71662211418152,7
PivotSampling,908,454,252.79694247125022,1166.3375829249665,190.93641973578994,273849.79705633264,1.8395727949055745,0.009275696424502449,21.713923454284668,8
PivotSampling,908,454,247.54787101983894,1167.7405045343803,188.73235997352018,274329.68099863036,1.8143921150606679,0.009001925813719702,14.799364566802979,9
PivotSampling,908,908,142.24741027765478,749.9014035730756,104.8059527461011,144406.47567491978,1.7701189068466583,0.004461317816303032,15.0572190284729,0
PivotSampling,908,908,139.61098059626224,932.5812405803566,101.53245504405317,144142.1198583263,1.763578570929527,0.004441628301390401,14.672182321548462,1
PivotSampling,908,908,142.67604471909075,836.2371596956397,102.52000606285891,146319.95756862895,1.7676045983974995,0.004469811999826609,13.03515911102295,2
PivotSampling,908,908,136.27122255643883,798.0795858616837,99.70057036477054,138882.88529248993,1.7341704134223193,0.00589754806021199,14.712316274642944,3
PivotSampling,908,908,139.27174461977455,850.834931675159,100.11623595228843,145444.6912587336,1.761204977616897,0.0042652906170986705,14.333461046218872,4
PivotSampling,908,908,136.0033381078008,693.9144139415953,98.3506457012248,141282.6590360434,1.7560966756842338,0.0037114381634820396,15.166794300079346,5
PivotSampling,908,908,132.8629084345118,736.5859476291499,94.8509404547698,137821.22116513015,1.777537756435453,0.007548803904200785,15.11905026435852,6
PivotSampling,908,908,141.00576266075015,869.1928454701944,108.6325319817905,144852.27826115416,1.774172208911124,0.004145295122217259,14.875956773757935,7
PivotSampling,908,908,138.4042971533948,723.8147580376757,105.94709126136557,146641.21837171854,1.769061644727029,0.0052245008720872834,14.80508041381836,8
PivotSampling,908,908,135.51884507744708,640.1323578565239,97.0225970259047,142431.6481726933,1.7441962413008776,0.004683871741250872,14.886871099472046,9
PivotSampling,908,1362,95.6030385660415,436.18979392951616,66.75333392453625,94760.72621010798,1.7580485679807318,0.004330426755879458,15.036986112594604,0
PivotSampling,908,1362,94.17647436327061,434.4340005092745,66.75765322295233,95276.19879837651,1.7431341961473985,0.0030858151172454998,15.329375982284546,1
PivotSampling,908,1362,90.99668423700773,613.1400605046962,62.44177757361451,92910.60025106136,1.6494975313439009,0.003527035119270659,15.10317087173462,2
PivotSampling,908,1362,98.93571954875453,578.7398413056774,77.48705632623025,98712.21703482562,1.6548637492086353,0.0049831555199275875,22.176992177963257,3
PivotSampling,908,1362,98.42610413341491,344.21686372575255,68.57234897573349,95744.30389738709,1.705852566440908,0.0033573552189917464,30.968551874160767,4
PivotSampling,908,1362,96.33678849713834,424.30653481012456,66.32690975454608,92568.45561321655,1.704659366433833,0.002845005858416839,32.87036943435669,5
PivotSampling,908,1362,95.55777228952142,452.83891928476885,70.48712663791653,94514.55154234516,1.708791013980503,0.002921412164330779,32.75006985664368,6
PivotSampling,908,1362,98.01226915380003,468.5180931469241,72.52945184018272,98736.55151866071,1.6793963119512718,0.002845005858416839,33.166714668273926,7
