Método,Tamaño Trayectoria,Epsilon,Distancia Media (m),Distancia Máx (m),Desv. Estándar (m),Error Longitud (m),Error Dirección (rad),Hausdorff (m),Tiempo (s),Run
Laplace,908,0.0259,75.85953528867067,376.98101559631885,56.7235221361123,93809.15012209784,1.820936040476186,0.004012057936964013,0.023026466369628906,5
Laplace,908,0.0259,78.43735987926198,331.05681589613,53.87679767979098,94580.82136882862,1.7403996102703172,0.002916422942533435,0.022975683212280273,6
Laplace,908,0.0259,75.9734100733145,359.0874935581598,53.24195904015345,91386.68066207055,1.7503477851002704,0.002510172783805589,0.024580955505371094,7
Laplace,908,0.0259,74.5734187902953,398.54925697985345,51.389097530665595,85518.24427050524,1.7969157594015173,0.0021764995098818977,0.023988008499145508,8
Laplace,908,0.0259,77.3168411317056,368.77733118421037,52.49514496776828,90675.36162377929,1.7509572468120074,0.0021050083434185057,0.023197412490844727,9
Laplace,908,0.03032,65.60181005805482,280.34918261840505,46.29981620346152,76330.60202324674,1.804626471490578,0.002550271207688732,0.02007746696472168,0
Laplace,908,0.03032,67.72199186588148,361.3060557419779,48.64081580202123,80626.1883246308,1.7894938662904918,0.0026561152910515836,0.022104501724243164,1
Laplace,908,0.03032,65.72917162758544,333.69468295119964,46.22386965868928,76807.95405224364,1.7059401182430645,0.0018032144470817794,0.019186735153198242,2
Laplace,908,0.03032,65.1896545428582,252.39776754726816,45.096565438913714,77110.43658662484,1.7658978031636057,0.002117384553742936,0.01887679100036621,3
Laplace,908,0.03032,64.78303933368117,248.5505435689835,44.39129587638514,74800.8197565766,1.7979394211123392,0.002141423822656773,0.018111467361450195,4
Laplace,908,0.03032,64.80085723751495,322.02540174662636,48.45446225209871,78804.35689169125,1.8050396968537359,0.0033997432192579766,0.01877140998840332,5
Laplace,908,0.03032,67.00288949379025,282.7958945750992,46.022725675804956,79551.4643853741,1.7280644057490044,0.0024357544183069833,0.02099776268005371,6
Laplace,908,0.03032,64.89813228301122,306.7406725327842,45.48043759346606,76826.5841897997,1.7368817446181626,0.0021483203576121504,0.018396854400634766,7
Laplace,908,0.03032,63.702227129292964,340.4492914284433,43.89767651598686,71812.02704609766,1.774251926337944,0.0018585738955147935,0.018758535385131836,8
Laplace,908,0.03032,66.04571982800127,315.0176366682911,44.84249145944694,76192.57653078037,1.7271627961142575,0.0017732825355026131,0.01999187469482422,9
Laplace,908,0.03474,57.255235764704544,244.68010543832352,40.40905272437108,65517.38849787492,1.7866399002426028,0.0022478199849150673,0.018891096115112305,0
Laplace,908,0.03474,59.105664790861766,315.336721748883,42.45220237313096,69262.2385315247,1.7631316034531141,0.0022793526487433643,0.026299238204956055,1
Laplace,908,0.03474,57.36639232964508,291.23840481509416,40.34276585466541,65995.94268579903,1.6899996618934492,0.0015751684632447874,0.02334308624267578,2
Laplace,908,0.03474,56.89551895653331,220.28496220963646,39.35889146224463,66232.9054659397,1.74937292657046,0.0018389783036567766,0.02149510383605957,3
Laplace,908,0.03474,56.54063753142428,216.9270780769053,38.74335286159265,64163.010945138456,1.7709374623853673,0.0018919776670655011,0.026001453399658203,4
Laplace,908,0.03474,56.55618917434299,281.05387393075426,42.289561004060985,67673.47829702853,1.7869144830039123,0.0029432408773465042,0.021018505096435547,5
Laplace,908,0.03474,58.478054143229905,246.81553014935665,40.16721443595017,68374.86206708732,1.713167286051074,0.0020775569036598175,0.020410776138305664,6
Laplace,908,0.03474,56.64108831431891,267.71403202784774,39.69392526707685,66002.69105671854,1.719111088829668,0.001871221086920854,0.0267946720123291,7
Laplace,908,0.03474,55.59733769628076,297.13356651643824,38.31253588761035,61626.43643950203,1.7459825161382398,0.0016287673697188783,0.05097365379333496,8
Laplace,908,0.03474,57.642667095856716,274.9377125796527,39.13714465902063,65427.54590681752,1.7090349937468796,0.001547666277393628,0.0250089168548584,9
Laplace,908,0.03916,50.79282170134578,217.06298745665043,35.84807307130831,57174.039246326276,1.7659358036831785,0.001985343951753972,0.01900196075439453,0
Laplace,908,0.03916,52.434392133960664,279.74454149988105,37.660610095468165,60490.4170878161,1.7355430270882555,0.00200182846606386,0.02020120620727539,1
Laplace,908,0.03916,50.89143152509515,258.3662338036164,35.789265910895345,57651.940243722864,1.6671880887355086,0.001402937371694155,0.026961326599121094,2
Laplace,908,0.03916,50.47370609612521,195.4213234402375,34.91644302804473,57838.65266747098,1.728170650150982,0.0016234546216614138,0.02130722999572754,3
Laplace,908,0.03916,50.158880085777554,192.4423444956561,34.37037969066238,55958.013754806445,1.7528635272862318,0.0017189244631742049,0.018363475799560547,4
Laplace,908,0.03916,50.17267690931712,249.33127333561126,37.516327654059864,59092.70755868844,1.7573027357256217,0.0025897911913645125,0.018529891967773438,5
Laplace,908,0.03916,51.87761987591912,218.95739307069798,35.63352960804399,59744.29507887095,1.6924875403160207,0.0018003704759795127,0.01831793785095215,6
Laplace,908,0.03916,50.24799379098077,237.4972391366282,35.21366287189738,57645.539809881106,1.6868180303915952,0.0016621864614424484,0.020430803298950195,7
Laplace,908,0.03916,49.322050560787225,263.5959711618338,33.98818830369274,53768.23960062104,1.7212246557662827,0.0014343161279488283,0.022531747817993164,8
Laplace,908,0.03916,51.136523951135096,243.90544464288607,34.71972562101435,57120.55056293465,1.6914682735660915,0.001395268982417108,0.019000530242919922,9
Laplace,908,0.04358,45.64127819388723,195.0478744898442,32.21226666343462,50547.421070806755,1.7437347420079707,0.001774383547816849,0.01858663558959961,0
Laplace,908,0.04358,47.11635605478229,251.37207605727372,33.840970080488994,53521.265387473635,1.7146848967953752,0.0017947656812505458,0.018090248107910156,1
Laplace,908,0.04358,45.72988640997298,232.1620317358308,32.15942237236267,51022.14369153912,1.6495402319353316,0.0012606882637205851,0.0181119441986084,2
Laplace,908,0.04358,45.35452805090465,175.60116059039544,31.37512447418661,51169.07633423615,1.7070452194022518,0.0014516808183012292,0.01930999755859375,3
Laplace,908,0.04358,45.07163242825921,172.92424593030805,30.88444380296975,49445.14803444805,1.7192104091135134,0.0015977878264085649,0.017901182174682617,4
Laplace,908,0.04358,45.084030298388214,224.0434494609902,33.71132226098116,52275.355857863084,1.7356487144240955,0.0023080385693255326,0.018262624740600586,5
Laplace,908,0.04358,46.61605298495891,196.7501493543912,32.019481675879994,52883.02128529347,1.6789152912417,0.0015795559638332988,0.01846027374267578,6
Laplace,908,0.04358,45.15170857794151,213.40975208550023,31.642200488296677,51002.732178848666,1.6717377046243296,0.0014934142476003694,0.019999980926513672,7
Laplace,908,0.04358,44.319676243821064,236.86132950742007,30.54101468296241,47529.69700523408,1.6950694678855547,0.0012884172750410071,0.018574237823486328,8
Laplace,908,0.04358,45.95012152990955,219.16792269240145,31.19835922596632,50522.84105998367,1.6762565750071579,0.0012658155450065945,0.018257856369018555,9
Laplace,908,0.048,41.43847725992261,177.08721233268977,29.24605444992223,45162.37913247797,1.7323952625415342,0.0016043463841353604,0.01931905746459961,0
Laplace,908,0.048,42.777724950080426,228.2248774912425,30.724780493403948,47855.5551371452,1.6894737136445983,0.0016262706407470344,0.02027750015258789,1
Laplace,908,0.048,41.51892588721478,210.78377164553646,29.198075118907973,45630.877389973815,1.6326433656110755,0.001147084403401459,0.025624513626098633,2
Laplace,908,0.048,41.17813195564504,159.43121278253997,28.485998694183106,45745.1799548695,1.6892787071796498,0.0013115714178288562,0.018109798431396484,3
Laplace,908,0.048,40.92128622559274,157.0007442249983,28.04050113763908,44154.70986673502,1.7073615817346621,0.0015127642567310078,0.01951766014099121,4
Laplace,908,0.048,40.93254272320653,203.41279650409905,30.607071900491245,46733.282570041716,1.7156763144455436,0.002078176730134292,0.020448923110961914,5
Laplace,908,0.048,42.32349134990853,178.63273970429634,29.071020935311353,47301.508703949556,1.6646632637587817,0.0013995504803620013,0.01900196075439453,6
Laplace,908,0.048,40.9939891367853,193.7583576230625,28.728482199752378,45599.87340708419,1.6601247692771617,0.001359367048844442,0.028676271438598633,7
Laplace,908,0.048,40.23857256572981,215.050323410409,27.728695668169177,42459.57459637237,1.6701056695010201,0.0011776663748279872,0.033000946044921875,8
Laplace,908,0.048,41.71888148414926,198.98622440459437,28.325510989500465,45161.18034257275,1.6491578671641238,0.0011544201645606854,0.030530214309692383,9
