Método,Tamaño Trayectoria,Epsilon,Distancia Media (m),Distancia Máx (m),Desv. Estándar (m),Error Longitud (m),Error Dirección (rad),Hausdorff (m),Tiempo (s),Run
AnchorSampling,908,454,874.1239268319275,2270.6300635439597,386.10385138708193,26971.127646986854,1.4039787707998643,0.026633429664817358,5.060305833816528,0
AnchorSampling,908,454,165.2351500629219,1637.7047218334592,185.8566728351283,107062.73946234203,1.6774876191820811,0.014586367907995758,5.250688791275024,1
AnchorSampling,908,454,599.5853855462954,2084.291382269735,385.1073102862945,60187.93790464015,1.5367117352721664,0.02434641245531985,7.78771448135376,2
AnchorSampling,908,454,106.51728965992262,754.8268641417358,98.10731880187515,101780.4714470868,1.6574675906788716,0.008831504288174705,11.105487823486328,3
AnchorSampling,908,454,611.3712002099976,2084.291382269735,391.14834289422373,81782.31791821953,1.4580755102358187,0.02434641245531985,10.857046842575073,4
AnchorSampling,908,454,126.76165058061336,1027.973607236235,122.4470746535779,93853.43603327122,1.6059570510218584,0.01205122915936735,11.186181545257568,5
AnchorSampling,908,454,114.67896891067483,1105.4119706682754,108.04689872917692,105436.57667583085,1.6814607632680922,0.009601207276121003,11.283453702926636,6
AnchorSampling,908,454,114.20901739187457,776.6221097998878,103.79269484738461,112746.54349224227,1.7125735268506193,0.001977362011701322,11.413284063339233,7
AnchorSampling,908,454,1056.0425425781793,2404.165030374724,388.71614645176476,9055.699271092739,1.3186398476447507,0.027447820548458776,11.24391770362854,8
AnchorSampling,908,454,247.00002238342907,1844.623440645429,276.1347515179025,85956.51932682926,1.63761182210252,0.021035562753021594,12.050641059875488,9
AnchorSampling,908,908,822.9311991203605,2199.211186270463,384.27861393337326,18253.15037275623,1.3522467844004173,0.025807120007035455,11.459131956100464,0
AnchorSampling,908,908,68.54949048031277,801.5836194298219,65.05999617766922,56587.206340540295,1.5325608503175918,0.0011684872481332895,11.502516746520996,1
AnchorSampling,908,908,129.90048053169764,1234.327092767054,175.1988965338722,53383.70902461047,1.5119914697253392,0.014476391961196754,5.110151529312134,2
AnchorSampling,908,908,71.23679482645485,754.2181432138133,77.88304371858935,59977.46506519139,1.5156292355735117,0.006368477226822106,5.1050262451171875,3
AnchorSampling,908,908,73.58637922327672,844.4954036650436,82.8917637412683,63439.96528928888,1.571218161766346,0.0047454518770943385,5.15508770942688,4
AnchorSampling,908,908,90.08376038388576,960.4237973938758,98.89803813122126,54755.30501899185,1.5779396225466877,0.011251441656310436,5.131403207778931,5
AnchorSampling,908,908,1287.893238848076,2546.7340212098393,389.3348227179945,14938.62149273967,1.219116562401673,0.029873980546886256,4.809639930725098,6
AnchorSampling,908,908,139.81050918110103,1309.764567549612,191.48552242660273,53476.127518880494,1.4722016905928224,0.015330842946041198,5.156720399856567,7
AnchorSampling,908,908,1055.2664725607103,2405.9478143257866,383.8154583979163,1326.7433050337913,1.3184659204089164,0.02822253041528631,5.126713514328003,8
AnchorSampling,908,908,75.00603052040896,861.7074623001292,77.95806552918864,68314.49805307444,1.533406317249037,0.0011684872481332895,5.206196069717407,9
AnchorSampling,908,1362,587.1802329116979,2018.1690791244077,385.93347146316245,32202.06164658792,1.395643231273715,0.02355708192999984,5.0690083503723145,0
AnchorSampling,908,1362,60.012571434204325,776.0094115767243,71.4188784153902,42663.37543323989,1.4193770764638811,0.008791731992356843,5.242747068405151,1
AnchorSampling,908,1362,57.763587093745635,739.0880833543065,62.060770609878126,42373.122983651476,1.4243430959082308,0.003936730634500148,5.175662994384766,2
AnchorSampling,908,1362,541.2787496240622,2094.3706775868386,385.04030802866623,33949.7740298228,1.3946892356015166,0.024416214187801603,5.129419565200806,3
AnchorSampling,908,1362,56.45498308633328,801.5836194298219,65.53902806248561,38667.10821188563,1.4060308393178955,0.003936730634500148,5.115725755691528,4
AnchorSampling,908,1362,69.09878277849889,890.5505289789033,85.5892114186863,38211.55776303614,1.4401387889504873,0.010435463311725606,5.048835515975952,5
AnchorSampling,908,1362,58.880349097231274,776.0094115767243,63.40640431924358,43340.050359172346,1.4576603618717507,0.004001716840971901,5.370516061782837,6
AnchorSampling,908,1362,150.1986835388828,1371.9907891945365,219.89017748105712,46357.75510023535,1.43768403008513,0.016093821623309086,5.155135154724121,7
AnchorSampling,908,1362,61.42630347876954,739.0880833543065,68.94856170647317,42921.685840397324,1.4125997133081998,0.007177224377860234,4.973912239074707,8
AnchorSampling,908,1362,86.03176256589968,1096.734408433965,117.3933779526266,30818.36284908424,1.384865255345828,0.012859452950577973,4.668233156204224,9
AnchorSampling,908,1816,261.7922061815823,1869.6007817350371,320.43955593893435,29359.037905870166,1.348264013749122,0.02153450087465789,5.016364574432373,0
AnchorSampling,908,1816,53.83755531806552,749.5760349064403,69.46484217763444,34121.278551344956,1.3252525401124997,0.008795238887341536,5.171963930130005,1
AnchorSampling,908,1816,1002.2179292413585,2335.195560665879,387.4115545264915,2088.1531739663387,1.2656655352660808,0.027412864318426586,5.087465763092041,2
AnchorSampling,908,1816,717.8248544482353,2128.459243032611,389.2222305401846,12113.16009165425,1.2864486247262126,0.02498510939343417,5.137908220291138,3
AnchorSampling,908,1816,52.66030199070582,801.5836194298219,71.99861824535185,37940.30421269289,1.4251939467900019,0.0011684872481332895,5.123739004135132,4
AnchorSampling,908,1816,1287.893238848076,2546.7340212098393,389.3348227179945,14938.62149273967,1.219116562401673,0.029873980546886256,4.832296371459961,5
AnchorSampling,908,1816,422.39381007601605,2038.7088277172334,369.2663262497549,23414.48656062151,1.336945247984335,0.023699001533478654,5.0002758502960205,6
