0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,96,1,0,0,0,0,2,0,0,0,1,0,0,0,0
1,1,0,2,17,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,5,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,1,0,5,0,0,1,0,0,1,0,0,0,0
0,0,0,1,0,0,1,4,18,1,47,0,0,7,1,0,0,0
0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,1,0
0,0,0,0,0,1,0,1,23,0,18,0,2,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,0,13,2,0,0,0,0
0,0,0,2,0,4,0,1,11,1,0,0,2,35,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
