0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,91,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,52,1,0,1,0,0,0,0,0,0,0,0,2,0,0
0,0,0,2,15,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,1,5,0,0,0,0,0,0,0,0,2,0,0,0
0,4,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0
2,0,0,2,0,1,1,11,1,0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,0,5,13,1,0,46,0,0,6,1,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,13,3,0,0,1,0,0,0
0,0,0,1,0,1,0,0,22,0,2,18,0,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0
0,0,0,2,0,3,0,1,10,0,1,0,1,1,35,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0
0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
