0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,11,1,1,0,0,0,1,0,9,0,0,0,0,0,0
0,1,10,58,1,0,0,0,0,2,0,0,0,0,1,0,0,0
1,3,0,2,14,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,9,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,1,1,4,17,1,47,0,0,0,7,1,0,0
0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,24,0,19,0,0,3,1,1,0,0
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,0,0,13,2,0,0,0
0,0,0,2,0,3,0,0,12,1,0,1,0,3,36,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
