0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25,24,1,1,0,0,0,6,0,0,0,0,0,1,0,0
0,1,14,71,1,0,0,0,0,6,0,0,0,1,0,2,0,0
1,2,0,2,11,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,5,8,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,1,0,5,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,4,18,1,47,0,0,7,2,0,0,0
0,0,0,1,0,0,0,0,0,12,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,23,0,19,0,3,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,0,13,2,0,0,0,0
0,0,0,2,0,4,0,1,11,1,0,0,2,36,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
