0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,90,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,50,1,0,1,0,0,0,0,0,0,0,0,2,0,0
0,0,0,3,14,0,2,0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0
0,6,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0
2,0,0,2,0,1,1,10,1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,1,0,6,12,0,0,47,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,12,4,0,0,1,0,1,0
0,0,0,1,0,1,0,0,22,0,1,18,0,1,1,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
0,0,1,1,0,3,0,1,11,0,1,0,1,1,35,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
