0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,26,1,1,0,0,0,3,0,0,0,0,0,0,0,0
1,0,14,92,1,0,0,0,0,9,0,0,0,1,0,0,0,0
1,0,0,2,14,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,3,9,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,3,18,1,47,0,0,7,1,0,0,0
0,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,1,0
0,0,0,0,0,1,0,1,23,0,18,0,2,1,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,0,13,2,0,0,0,0
0,0,0,2,0,4,0,1,11,2,0,0,2,36,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,1,7,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
