0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,36,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,106,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,1,10,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,1,0,1,2,8,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,23,0,0,0,39,0,1,0,0,2,0,0,1,0
0,1,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,2,0,2,0,7,0,0,0,0,2,0,0,0,0
0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0
0,0,0,0,0,0,1,0,15,0,2,0,19,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,2,0,0,0,1,3,0,11,1,2,0,6,1,0,1,0
0,0,0,0,1,0,0,0,2,0,2,1,0,0,4,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0
0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,1,1,0,2,0,4,0,0,3,0,0,0,27,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
